Lebensbereich,Projekt,Aufgabe,Teilschritt
Arbeit,Hörbibel,VoiceCoaching für Sprecher organisieren,Voicecach anrufen und nach Preisen fragen
,,,Budget mit Abteilungsleiter abklären
,,,Sprecher in Kontakt mit Voicecoach bringen
,,,Klären wer Überblick über Finanzen behält
,,,Abrechnungsstruktur einrichten (In welcher Tabelle notieren? Wo Belege sammeln?)
,Übersetzung Hiob,Kapitel 15 revidieren,Mail an Übersetzer: Qualität Verse 16-30 ungenügend
,,,Revision Vers 1-15 fertig stellen
,,,Revision Verse 16-30 (Warten auf Überarbeitung vom Übersetzer)
,,,
Privat,Geburtstagsfeier,Gäste einladen,Gästeliste schreiben
,,,Einladungstext schreiben
,,,Whatsapps versenden
,Hof neu pflastern,Alte Pflastersteine raus,Randsteine ausgraben
,,,Alter Pflastersteine rausmachen
,,,Alte Pflastersteine entsorgen
,,Neue Pflastersteine kaufen,Im Obi Pflastersteine anschauen
,,,im Bauahaus Pflastersteine anschauen
,,,Pflastersteine kaufen (liefern lassen!)
,,Untergrund vorbereiten,Untergrund ebnen 
,,,Untergrund verdichten
,,,Sand rein
,,Neue Steine verlegen,
